external-IP,internal-IP,name,cloud_index
35.199.26.109,10.150.0.12,slave-sajvanleeuwen-2,0
35.245.171.135,10.150.0.13,slave-sajvanleeuwen-1,0
35.227.174.251,10.138.0.5,slave-sajvanleeuwen-5,0
35.203.180.36,10.138.0.4,slave-sajvanleeuwen-6,0
35.195.101.255,10.132.0.6,slave-sajvanleeuwen-9,0
34.78.35.18,10.132.0.7,slave-sajvanleeuwen-10,0
34.68.43.81,10.128.0.14,slave-sajvanleeuwen-3,0
35.245.117.107,10.150.0.4,slave-daanhofman-2,1
34.121.146.196,10.128.0.15,slave-sajvanleeuwen-4,0
34.86.65.46,10.150.0.5,slave-daanhofman-3,1
35.231.9.26,10.142.0.11,slave-sajvanleeuwen-0,0
34.82.164.187,10.138.0.5,slave-daanhofman-6,1
35.230.31.235,10.138.0.4,slave-daanhofman-7,1
34.91.196.126,10.164.0.2,slave-sajvanleeuwen-8,0
35.196.158.43,10.142.0.4,slave-daanhofman-0,1
34.90.156.96,10.164.0.3,slave-sajvanleeuwen-7,0
35.243.184.181,10.142.0.5,slave-daanhofman-1,1
34.70.140.80,10.128.0.8,slave-daanhofman-5,1
35.188.169.105,10.128.0.7,slave-daanhofman-4,1
35.245.173.209,10.150.0.13,slave-kawinzheng-2,2
35.245.76.28,10.150.0.12,slave-kawinzheng-3,2
34.83.191.66,10.138.0.15,slave-kawinzheng-7,2
104.196.248.176,10.138.0.16,slave-kawinzheng-6,2
35.196.136.113,10.142.0.13,slave-kawinzheng-0,2
35.227.9.221,10.142.0.14,slave-kawinzheng-1,2
35.241.154.105,10.132.0.2,slave-kawinzheng-10,2
34.78.132.148,10.132.0.3,slave-kawinzheng-11,2
104.198.234.73,10.128.0.39,slave-kawinzheng-4,2
35.202.135.8,10.128.0.38,slave-kawinzheng-5,2
34.90.121.103,10.164.0.7,slave-kawinzheng-8,2
35.189.183.66,10.140.0.2,slave-kawinzheng-12,2
34.80.129.143,10.140.0.3,slave-kawinzheng-13,2
